query,page_number,pageid,title,timestamp,wordcount,snippet
digital services act,1,65193550,Digital Services Act,2026-06-20T03:14:50Z,7420,"The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA) is an EU regulation that entered into force in 2022, establishing a comprehensive legal framework for <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> accountability"
digital services act,1,66230371,Digital Markets Act,2026-06-11T19:50:04Z,12016,"The <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> (DMA) is an EU regulation that aims to make the <span class=""searchmatch"">digital</span> economy fairer and more contestable. The regulation entered into force"
digital services act,1,295668,Content moderation,2026-06-23T23:47:33Z,3516,"<span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA)&quot;. European Commission. Retrieved 23 September 2025. &quot;Out-of-court dispute settlement bodies under the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>"
digital services act,1,67646530,Online Safety Act 2023,2026-06-24T12:39:02Z,5945,"through &quot;<span class=""searchmatch"">service</span> restriction orders&quot;, requirements on ancillary <span class=""searchmatch"">services</span> which facilitate the provision of the regulated <span class=""searchmatch"">services</span>. The <span class=""searchmatch"">act</span> lists in section"
digital services act,1,47652080,Digital Single Market,2026-06-22T19:07:06Z,6123,"Market For <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> (<span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>) and amending Directive 2000/31/EC European Commission (16 April 2021). &quot;The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> package&quot;"
digital services act,1,25286840,Taxation of digital goods,2026-05-26T16:07:06Z,5918,"for a fee. The taxation of <span class=""searchmatch"">digital</span> goods and/or <span class=""searchmatch"">services</span>, sometimes referred to as <span class=""searchmatch"">digital</span> tax and/or a <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> tax, is gaining popularity across"
digital services act,1,70137000,Censorship in the European Union,2026-04-30T05:29:35Z,1603,"using automated content moderation to remove legal speech. The EU <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, passed in 2022, compels online platforms to remove illegal content"
digital services act,1,34092671,Shadow banning,2026-06-25T20:12:47Z,3227,"platform denied a <span class=""searchmatch"">service</span> for no disclosed reason, and hence being in breach of contract. In the European Union, the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA) contains"
digital services act,1,18935388,Information technology law,2025-12-08T10:04:58Z,4956,"Artificial Intelligence <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> Cyber Resilience <span class=""searchmatch"">Act</span> Data Governance <span class=""searchmatch"">Act</span> (proposed) <span class=""searchmatch"">Digital</span> Fairness <span class=""searchmatch"">Act</span> (proposed) As of"
digital services act,1,9933471,Digital marketing,2026-06-05T02:06:43Z,5526,"products and <span class=""searchmatch"">services</span>. It has significantly transformed how brands and businesses use technology for marketing since the 1990s and 2000s. As <span class=""searchmatch"">digital</span> platforms"
digital services act,1,79397333,Digital Services Tax Act (Canada),2026-05-21T21:47:04Z,2412,"Canada&#039;s <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> tax (DST) was a 3% tax on Canadian-source <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> revenue (i.e., <span class=""searchmatch"">services</span> that rely on engagement, data, and content"
digital services act,1,68882246,Frances Haugen,2026-06-18T03:44:52Z,4474,"(whistleblower) – former Facebook data analyst and whistleblower <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> Online Safety <span class=""searchmatch"">Act</span> 2023 Mac, Ryan (October 5, 2021). &quot;Who is Frances Haugen"
digital services act,1,54174510,Dark pattern,2026-06-18T13:57:42Z,3455,"19 October 2022 on a Single Market For <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> and amending Directive 2000/31/EC (<span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>). OJ L 277, 27.10.2022, p. 1–102. Pál,"
digital services act,1,20648089,Digital Millennium Copyright Act,2026-06-12T04:50:30Z,12592,"The <span class=""searchmatch"">Digital</span> Millennium Copyright <span class=""searchmatch"">Act</span> (DMCA) is a 1998 United States copyright law that implements two 1996 treaties of the World Intellectual Property"
digital services act,1,80542801,Transparency and Targeting of Political Advertising Regulation,2026-06-26T14:08:43Z,779,"advertising across all EU member states. The regulation complements the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, General Data Protection Regulation (GDPR), and the EU Code of Practice"
digital services act,1,22757963,Interactive Gambling Act 2001,2026-05-28T10:23:32Z,743,"Other Measures) <span class=""searchmatch"">Act</span> 2023, which prohibited the use of credit cards, credit-related products and <span class=""searchmatch"">digital</span> currency for online wagering. The <span class=""searchmatch"">Act</span> is administered"
digital services act,1,1305348,Vlog,2026-05-22T23:28:54Z,4145,"Union enabled several strict internet regulations. For instance, the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> mandates greater transparency and accountability to platforms in"
digital services act,1,39922603,Atria Convergence Technologies,2026-06-25T17:43:29Z,638,"under the brand name &quot;<span class=""searchmatch"">ACT</span> Fibernet&quot; and <span class=""searchmatch"">digital</span> television <span class=""searchmatch"">services</span> under the &quot;<span class=""searchmatch"">ACT</span> <span class=""searchmatch"">Digital</span>&quot; brand. The company provides <span class=""searchmatch"">services</span> in Tamil Nadu, Telangana"
digital services act,1,77946617,Digital Fairness Act,2026-02-01T20:17:49Z,763,"The <span class=""searchmatch"">Digital</span> Fairness <span class=""searchmatch"">Act</span> (DFA) is a legislative proposal by the European Commission. Michael McGrath, EU Commissioner for Democracy, Justice, the Rule"
digital services act,1,76980362,Digital Operational Resilience Act,2025-11-18T14:12:23Z,553,"The <span class=""searchmatch"">Digital</span> Operational Resilience <span class=""searchmatch"">Act</span> (DORA), officially Regulation (EU) 2022/2554 is a European Union regulation. It requires financial entities to improve"
digital services act,1,708000,Regulation (European Union),2026-04-10T21:35:29Z,715,"the EU increasingly uses the term &quot;<span class=""searchmatch"">Act</span>&quot; in the short titles of many of its Regulations (e.g. the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>). The description of regulations can"
digital services act,1,81103527,EU Digital Identity Wallet,2026-02-14T16:23:02Z,2460,"addition, Very Large Online Platforms under the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> and “gatekeepers” under the <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> must recognise the wallet for user authentication"
digital services act,1,68692470,Trade and Technology Council,2026-06-16T08:16:38Z,2157,"the <span class=""searchmatch"">digital</span> world, supply chain resilience, the global trade order and the EU&#039;s developing regulatory agenda like <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, Data <span class=""searchmatch"">Act</span> and Cloud"
digital services act,1,67032801,Digital platform (infrastructure),2026-03-25T22:10:30Z,1489,"these platforms have. Laws such as the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> have been put in place to regulate and ensure <span class=""searchmatch"">digital</span> programmes are abiding by content moderation"
digital services act,1,68294262,Data Act (European Union),2026-02-01T20:13:21Z,638,"data. Data Governance <span class=""searchmatch"">Act</span> General Data Protection Regulation Artificial Intelligence <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> European Health Data"
digital services act,2,82337203,Algorithmic amplification,2026-06-10T15:23:54Z,7996,"1007/s41109-024-00668-6. &quot;The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> package&quot;. European Commission. Retrieved 4 March 2026. &quot;Action Recommended: How the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> Addresses Platform"
digital services act,2,67241140,Digital Copyright Act,2025-06-05T06:01:55Z,209,"The <span class=""searchmatch"">Digital</span> Copyright <span class=""searchmatch"">Act</span> (DCA) is a proposed United States copyright law that amends revision of <span class=""searchmatch"">Digital</span> Millennium Copyright <span class=""searchmatch"">Act</span> (DMCA). The proposed"
digital services act,2,5897742,Social media,2026-06-23T01:01:11Z,22455,"the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>&quot;. Politics and Governance. 11 (3). doi:10.17645/pag.v11i3.6735. &quot;The <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> package | Shaping Europe&#039;s <span class=""searchmatch"">digital</span> future&quot;"
digital services act,2,4075736,European Union–United States relations,2026-06-25T19:16:00Z,8960,"to Big Tech on <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>&quot; (PDF). FCC.gov. Mukherjee, Supantha (March 3, 2025). &quot;US FCC chair says EU <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> is threat to free"
digital services act,2,57174306,Big Tech,2026-06-25T07:44:08Z,12910,"targeting gender, race, religion, and childhood. Both the <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> and <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> were enacted by the EU in July 2022. The EU defined Alphabet"
digital services act,2,61481948,Payment Services Act 2019,2025-09-18T15:40:35Z,229,"transfer <span class=""searchmatch"">services</span>, (4) merchant acquisition, (5) electronic money issuance, (6) <span class=""searchmatch"">digital</span> payment token <span class=""searchmatch"">services</span> and (7) money-changing <span class=""searchmatch"">services</span>. The PS <span class=""searchmatch"">Act</span> does"
digital services act,2,59463,DSA,2026-06-17T06:01:31Z,417,"Nevada, United States <span class=""searchmatch"">Digital</span> Security <span class=""searchmatch"">Act</span>, 2018 (Bangladesh) <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, a European Union regulation on <span class=""searchmatch"">digital</span> content <span class=""searchmatch"">Digital</span> subtraction angiography"
digital services act,2,17728747,Electronic Commerce Directive 2000,2026-03-20T22:08:18Z,3949,"revise this directive which finally happened with the adoption of the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> 2022. In the 1990s, when the general public started using the internet"
digital services act,2,51024759,Digital Economy Act 2017,2026-05-02T22:38:34Z,3205,"<span class=""searchmatch"">Digital</span> Economy <span class=""searchmatch"">Act</span> 2017 (c. 30) is an <span class=""searchmatch"">act</span> of the Parliament of the United Kingdom. It is substantially different from, and shorter than, the <span class=""searchmatch"">Digital</span>"
digital services act,2,73295318,Coimisiún na Meán,2026-06-26T11:57:45Z,762,"as <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span> commissioner Coimisiún na Meán is the designated <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> Coordinator for Ireland under the EU&#039;s <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>. On"
digital services act,2,18934863,Digital library,2026-06-25T13:28:06Z,6268,"A <span class=""searchmatch"">digital</span> library, also referred to as an online library, an internet library, a <span class=""searchmatch"">digital</span> repository, a library without walls, or a <span class=""searchmatch"">digital</span> collection,"
digital services act,2,63451675,Regulation of artificial intelligence,2026-06-26T09:49:31Z,17038,"of <span class=""searchmatch"">digital</span> technology through the GDPR, <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, and the <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span>. For AI in particular, the Artificial intelligence <span class=""searchmatch"">Act</span> was"
digital services act,2,56846326,Platform economy,2026-05-20T12:26:50Z,5003," the Commission proposed two key regulations: the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> and the <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span>, aimed at increasing accountability and competition"
digital services act,2,57837019,Solid (web decentralization project),2025-12-12T23:24:25Z,1093,"presentations. ActivityPub AT Protocol Dat Distributed social network <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> IndieWeb InterPlanetary File System Urbit David Weinberber (10 August"
digital services act,2,73236747,Trust and safety,2026-06-23T09:11:59Z,3313,"requests under laws like the <span class=""searchmatch"">Digital</span> Millennium Copyright <span class=""searchmatch"">Act</span> (DMCA), implementing requirements under the EU&#039;s <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> (DSA), and responding to"
digital services act,2,74540504,"Digital Personal Data Protection Act, 2023",2026-05-26T22:41:58Z,2840,"The <span class=""searchmatch"">Digital</span> Personal Data Protection <span class=""searchmatch"">Act</span>, 2023 (also known as DPDP <span class=""searchmatch"">Act</span> or DPDPA-2023) is an <span class=""searchmatch"">act</span> of the Parliament of India to provide for the processing"
digital services act,2,70232481,Digital and Intelligence Service,2026-04-05T04:50:01Z,929,"The <span class=""searchmatch"">Digital</span> and Intelligence <span class=""searchmatch"">Service</span> (DIS) is the <span class=""searchmatch"">digital</span> <span class=""searchmatch"">service</span> branch of the Singapore Armed Forces (SAF) responsible for providing military intelligence"
digital services act,2,1649105,Digital identity,2026-06-22T19:36:18Z,6126,"facilitating automated access to <span class=""searchmatch"">digital</span> <span class=""searchmatch"">services</span>, confirming one&#039;s identity on the internet, and allowing <span class=""searchmatch"">digital</span> systems to manage interactions between"
digital services act,2,58250,United States Department of Health and Human Services,2026-06-01T14:52:58Z,4733,"Planning and <span class=""searchmatch"">Service</span> <span class=""searchmatch"">Act</span> PL 89-749 1970: Community Mental Health <span class=""searchmatch"">Service</span> <span class=""searchmatch"">Act</span> PL 91-211 1970: Family Planning <span class=""searchmatch"">Services</span> and Population Research <span class=""searchmatch"">Act</span> PL 91-572"
digital services act,2,47262459,Consumer Rights Act 2015,2026-06-23T17:30:29Z,1751,"purchase of <span class=""searchmatch"">digital</span> content. The <span class=""searchmatch"">Act</span> is split into three parts: Part 1 concerns consumer contracts for goods, <span class=""searchmatch"">digital</span> content and <span class=""searchmatch"">services</span>. Part 2 concerns"
digital services act,2,43921488,Digital India,2026-05-26T08:28:32Z,2963,"knowledge economy&quot; by expanding <span class=""searchmatch"">digital</span> infrastructure, promoting e‑governance, and enabling <span class=""searchmatch"">digital</span> delivery of public <span class=""searchmatch"">services</span>. The programme was launched"
digital services act,2,41501305,Telegram (software),2026-06-27T06:39:21Z,17990,"Telegram launched Telegram Stars to facilitate in-app purchases of <span class=""searchmatch"">digital</span> goods and <span class=""searchmatch"">services</span>, in compliance with policies from the App Store and Play Store"
digital services act,2,38104075,General Data Protection Regulation,2026-06-22T23:13:14Z,13757,"legislation 2024. Data <span class=""searchmatch"">Act</span>, proposed EU law from 2022 Data Governance <span class=""searchmatch"">Act</span>, proposed EU law from 2020 <span class=""searchmatch"">Digital</span> Markets <span class=""searchmatch"">Act</span> <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span> EU–US Privacy Shield"
digital services act,2,331302,Immigration and Nationality Act of 1965,2026-06-23T00:59:15Z,6323,"Immigration and Nationality <span class=""searchmatch"">Act</span> of 1965, also known as the Hart–Celler <span class=""searchmatch"">Act</span> and more recently as the 1965 Immigration <span class=""searchmatch"">Act</span>, was a federal law passed by"
digital services act,2,83149340,Regulation (EU) 2024/1183,2026-05-18T03:46:55Z,1887,"public <span class=""searchmatch"">service</span> must accept the EUDI Wallet as a valid means of identification. Very Large Online Platforms designated under the <span class=""searchmatch"">Digital</span> <span class=""searchmatch"">Services</span> <span class=""searchmatch"">Act</span>, such"
